Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Josh Bridges,554,2:59.3,152,152,21.53,3:04.54,0.24,2:59.3,21.53,3:04.54,0.24,8:08.0,20,20,1:38.95,10:20.94,1.34,8:08,1:58.79,10:34.97,1.24,C+7,9,9,34.94,25:36.09,,26:21,2:17.38,30:44.56,1.92,2:37.6,157,157,24,2:19.73,-0.74,2:37.6,34.24,2:37.26,-0.01,240,156,156,18.35,241.5,-0.08,240.0,18.35,241.5,-0.08,11:25.0,6,6,1:16.23,13:53.46,1.95,11:25,1:35.89,14:45.35,2.09,1:25.2,54,54,39.85,1:56.3,0.78,1:25.2,44.34,1:57.86,0.74
Steven Fawcett,559,2:56.0,125,125,21.53,3:04.54,0.4,2:56,21.53,3:04.54,0.4,8:31.0,41,41,1:38.95,10:20.94,1.11,8:31,1:58.79,10:34.97,1.04,C+39,34,34,34.94,25:36.09,,27:57,2:17.38,30:44.56,1.22,1:45.4,20,20,24,2:19.73,1.43,1:45.4,34.24,2:37.26,1.51,245,121,121,18.35,241.5,0.19,245.0,18.35,241.5,0.19,11:42.4,11,11,1:16.23,13:53.46,1.72,11:42.4,1:35.89,14:45.35,1.91,1:56.7,207,207,39.85,1:56.3,-0.01,1:56.7,44.34,1:57.86,0.03
Rob Forte,559,2:41.2,43,43,21.53,3:04.54,1.08,2:41.2,21.53,3:04.54,1.08,7:44.3,7,7,1:38.95,10:20.94,1.58,7:44.3,1:58.79,10:34.97,1.44,C+32,24,24,34.94,25:36.09,,27:36,2:17.38,30:44.56,1.37,1:56.6,37,37,24,2:19.73,0.96,1:56.6,34.24,2:37.26,1.19,246,114,114,18.35,241.5,0.25,246.0,18.35,241.5,0.25,13:29.6,82,82,1:16.23,13:53.46,0.31,13:29.6,1:35.89,14:45.35,0.79,2:16.0,252,252,39.85,1:56.3,-0.49,2:16,44.34,1:57.86,-0.41
Shane McBride,561,2:34.7,16,16,21.53,3:04.54,1.39,2:34.7,21.53,3:04.54,1.39,9:58.8,141,141,1:38.95,10:20.94,0.22,9:58.8,1:58.79,10:34.97,0.3,C+60,60,60,34.94,25:36.09,,29:00,2:17.38,30:44.56,0.76,1:54.3,31,31,24,2:19.73,1.06,1:54.3,34.24,2:37.26,1.25,237,167,167,18.35,241.5,-0.25,237.0,18.35,241.5,-0.25,14:46.2,145,145,1:16.23,13:53.46,-0.69,14:46.2,1:35.89,14:45.35,-0.01,1:17.7,1,1,39.85,1:56.3,0.97,1:17.7,44.34,1:57.86,0.91
Zak Carchedi,583,2:38.3,30,30,21.53,3:04.54,1.22,2:38.3,21.53,3:04.54,1.22,8:51.0,56,56,1:38.95,10:20.94,0.91,8:51,1:58.79,10:34.97,0.88,C+56,53,53,34.94,25:36.09,,28:48,2:17.38,30:44.56,0.85,2:14.0,96,96,24,2:19.73,0.24,2:14,34.24,2:37.26,0.68,245,121,121,18.35,241.5,0.19,245.0,18.35,241.5,0.19,13:56.4,103,103,1:16.23,13:53.46,-0.04,13:56.4,1:35.89,14:45.35,0.51,1:35.9,124,124,39.85,1:56.3,0.51,1:35.9,44.34,1:57.86,0.5
Kenneth Leverich,583,2:51.0,90,90,21.53,3:04.54,0.63,2:51,21.53,3:04.54,0.63,10:46.9,200,200,1:38.95,10:20.94,-0.26,10:46.9,1:58.79,10:34.97,-0.1,C+85,135,135,34.94,25:36.09,,30:15,2:17.38,30:44.56,0.22,2:02.1,56,56,24,2:19.73,0.73,2:02.1,34.24,2:37.26,1.03,275,8,8,18.35,241.5,1.83,275.0,18.35,241.5,1.83,13:28.1,79,79,1:16.23,13:53.46,0.33,13:28.1,1:35.89,14:45.35,0.81,1:20.7,15,15,39.85,1:56.3,0.89,1:20.7,44.34,1:57.86,0.84
Jack Long,586,2:38.0,29,29,21.53,3:04.54,1.23,2:38,21.53,3:04.54,1.23,9:41.0,121,121,1:38.95,10:20.94,0.4,9:41,1:58.79,10:34.97,0.45,C+55,51,51,34.94,25:36.09,,28:45,2:17.38,30:44.56,0.87,2:15.2,100,100,24,2:19.73,0.19,2:15.2,34.24,2:37.26,0.64,268,24,24,18.35,241.5,1.44,268.0,18.35,241.5,1.44,C+2,224,224,1:16.23,13:53.46,,16:02,1:35.89,14:45.35,-0.8,1:23.2,37,37,39.85,1:56.3,0.83,1:23.2,44.34,1:57.86,0.78
Jordan Cook,587,2:59.2,150,150,21.53,3:04.54,0.25,2:59.2,21.53,3:04.54,0.25,8:25.8,38,38,1:38.95,10:20.94,1.16,8:25.8,1:58.79,10:34.97,1.09,C+38,32,32,34.94,25:36.09,,27:54,2:17.38,30:44.56,1.24,C+0,216,216,24,2:19.73,,3:00,34.24,2:37.26,-0.66,251,86,86,18.35,241.5,0.52,251.0,18.35,241.5,0.52,12:31.5,35,35,1:16.23,13:53.46,1.08,12:31.5,1:35.89,14:45.35,1.4,1:22.4,30,30,39.85,1:56.3,0.85,1:22.4,44.34,1:57.86,0.8
Jon Pera,587,2:37.4,25,25,21.53,3:04.54,1.26,2:37.4,21.53,3:04.54,1.26,8:38.7,47,47,1:38.95,10:20.94,1.03,8:38.7,1:58.79,10:34.97,0.98,C+60,60,60,34.94,25:36.09,,29:00,2:17.38,30:44.56,0.76,C+60,314,314,24,2:19.73,,4:00,34.24,2:37.26,-2.42,262,38,38,18.35,241.5,1.12,262.0,18.35,241.5,1.12,12:15.2,29,29,1:16.23,13:53.46,1.29,12:15.2,1:35.89,14:45.35,1.57,1:27.2,74,74,39.85,1:56.3,0.73,1:27.2,44.34,1:57.86,0.69
Lukas Högberg,593,2:54.7,121,121,21.53,3:04.54,0.46,2:54.7,21.53,3:04.54,0.46,9:16.3,87,87,1:38.95,10:20.94,0.65,9:16.3,1:58.79,10:34.97,0.66,C+10,11,11,34.94,25:36.09,,26:30,2:17.38,30:44.56,1.85,1:58.7,43,43,24,2:19.73,0.88,1:58.7,34.24,2:37.26,1.13,250,93,93,18.35,241.5,0.46,250.0,18.35,241.5,0.46,14:56.2,155,155,1:16.23,13:53.46,-0.82,14:56.2,1:35.89,14:45.35,-0.11,1:28.9,83,83,39.85,1:56.3,0.69,1:28.9,44.34,1:57.86,0.65
Ben Alderman,601,2:46.5,71,71,21.53,3:04.54,0.84,2:46.5,21.53,3:04.54,0.84,8:55.2,62,62,1:38.95,10:20.94,0.87,8:55.2,1:58.79,10:34.97,0.84,C+108,215,215,34.94,25:36.09,,31:40,2:17.38,30:44.56,-0.4,2:04.2,61,61,24,2:19.73,0.65,2:04.2,34.24,2:37.26,0.97,260,53,53,18.35,241.5,1.01,260.0,18.35,241.5,1.01,12:37.0,36,36,1:16.23,13:53.46,1.0,12:37,1:35.89,14:45.35,1.34,1:32.1,103,103,39.85,1:56.3,0.61,1:32.1,44.34,1:57.86,0.58
Travis Mayer,613,2:42.3,53,53,21.53,3:04.54,1.03,2:42.3,21.53,3:04.54,1.03,9:37.5,119,119,1:38.95,10:20.94,0.44,9:37.5,1:58.79,10:34.97,0.48,C+36,31,31,34.94,25:36.09,,27:48,2:17.38,30:44.56,1.29,2:46.1,181,181,24,2:19.73,-1.1,2:46.1,34.24,2:37.26,-0.26,262,38,38,18.35,241.5,1.12,262.0,18.35,241.5,1.12,12:05.0,25,25,1:16.23,13:53.46,1.42,12:05,1:35.89,14:45.35,1.67,1:44.1,166,166,39.85,1:56.3,0.31,1:44.1,44.34,1:57.86,0.31
Mitch Barnard,619,2:24.6,4,4,21.53,3:04.54,1.85,2:24.6,21.53,3:04.54,1.85,8:34.8,45,45,1:38.95,10:20.94,1.07,8:34.799,1:58.79,10:34.97,1.01,C+80,119,119,34.94,25:36.09,,30:00,2:17.38,30:44.56,0.32,2:15.1,99,99,24,2:19.73,0.19,2:15.1,34.24,2:37.26,0.65,260,53,53,18.35,241.5,1.01,260.0,18.35,241.5,1.01,14:15.1,118,118,1:16.23,13:53.46,-0.28,14:15.1,1:35.89,14:45.35,0.32,1:47.7,181,181,39.85,1:56.3,0.22,1:47.7,44.34,1:57.86,0.23
Paul Tremblay,620,2:28.3,6,6,21.53,3:04.54,1.68,2:28.3,21.53,3:04.54,1.68,10:57.0,214,214,1:38.95,10:20.94,-0.36,10:57,1:58.79,10:34.97,-0.19,C+68,80,80,34.94,25:36.09,,29:24,2:17.38,30:44.56,0.59,C+6,266,266,24,2:19.73,,3:06,34.24,2:37.26,-0.84,265,31,31,18.35,241.5,1.28,265.0,18.35,241.5,1.28,11:50.1,14,14,1:16.23,13:53.46,1.62,11:50.1,1:35.89,14:45.35,1.83,1:19.4,9,9,39.85,1:56.3,0.93,1:19.4,44.34,1:57.86,0.87
Nicholas DelGrande,634,2:47.8,76,76,21.53,3:04.54,0.78,2:47.8,21.53,3:04.54,0.78,12:13.1,268,268,1:38.95,10:20.94,-1.13,12:13.1,1:58.79,10:34.97,-0.83,C+63,71,71,34.94,25:36.09,,29:09,2:17.38,30:44.56,0.7,2:36.3,153,153,24,2:19.73,-0.69,2:36.3,34.24,2:37.26,0.03,265,31,31,18.35,241.5,1.28,265.0,18.35,241.5,1.28,12:02.9,23,23,1:16.23,13:53.46,1.45,12:02.9,1:35.89,14:45.35,1.69,1:20.6,12,12,39.85,1:56.3,0.9,1:20.6,44.34,1:57.86,0.84
Cody Mooney,635,2:44.0,62,62,21.53,3:04.54,0.95,2:44,21.53,3:04.54,0.95,8:04.6,18,18,1:38.95,10:20.94,1.38,8:04.6,1:58.79,10:34.97,1.27,C+84,134,134,34.94,25:36.09,,30:12,2:17.38,30:44.56,0.24,1:47.0,22,22,24,2:19.73,1.36,1:47,34.24,2:37.26,1.47,252,83,83,18.35,241.5,0.57,252.0,18.35,241.5,0.57,12:40.6,40,40,1:16.23,13:53.46,0.96,12:40.6,1:35.89,14:45.35,1.3,2:37.6,276,276,39.85,1:56.3,-1.04,2:37.6,44.34,1:57.86,-0.9
Duke Burk,640,2:42.4,54,54,21.53,3:04.54,1.03,2:42.4,21.53,3:04.54,1.03,9:08.6,79,79,1:38.95,10:20.94,0.73,9:08.6,1:58.79,10:34.97,0.73,C+75,106,106,34.94,25:36.09,,29:45,2:17.38,30:44.56,0.43,2:07.6,69,69,24,2:19.73,0.51,2:07.6,34.24,2:37.26,0.87,271,18,18,18.35,241.5,1.61,271.0,18.35,241.5,1.61,13:11.6,65,65,1:16.23,13:53.46,0.55,13:11.6,1:35.89,14:45.35,0.98,2:14.6,249,249,39.85,1:56.3,-0.46,2:14.6,44.34,1:57.86,-0.38
Trevor James,644,2:46.4,70,70,21.53,3:04.54,0.84,2:46.4,21.53,3:04.54,0.84,9:05.6,75,75,1:38.95,10:20.94,0.76,9:05.6,1:58.79,10:34.97,0.75,C+70,90,90,34.94,25:36.09,,29:30,2:17.38,30:44.56,0.54,2:11.1,85,85,24,2:19.73,0.36,2:11.1,34.24,2:37.26,0.76,279,5,5,18.35,241.5,2.04,279.0,18.35,241.5,2.04,C+5,256,256,1:16.23,13:53.46,,16:05,1:35.89,14:45.35,-0.83,1:25.9,63,63,39.85,1:56.3,0.76,1:25.9,44.34,1:57.86,0.72
Rasmus Wisbech Andersen,659,2:44.4,64,64,21.53,3:04.54,0.94,2:44.4,21.53,3:04.54,0.94,8:02.6,17,17,1:38.95,10:20.94,1.4,8:02.6,1:58.79,10:34.97,1.28,C+86,138,138,34.94,25:36.09,,30:18,2:17.38,30:44.56,0.19,2:10.0,83,83,24,2:19.73,0.41,2:10,34.24,2:37.26,0.8,261,49,49,18.35,241.5,1.06,261.0,18.35,241.5,1.06,C+2,224,224,1:16.23,13:53.46,,16:02,1:35.89,14:45.35,-0.8,1:29.4,84,84,39.85,1:56.3,0.67,1:29.4,44.34,1:57.86,0.64
Kevin Scholtz,661,3:11.9,209,209,21.53,3:04.54,-0.34,3:11.9,21.53,3:04.54,-0.34,8:17.9,32,32,1:38.95,10:20.94,1.24,8:17.9,1:58.79,10:34.97,1.15,C+85,135,135,34.94,25:36.09,,30:15,2:17.38,30:44.56,0.22,1:43.9,16,16,24,2:19.73,1.49,1:43.9,34.24,2:37.26,1.56,235,195,195,18.35,241.5,-0.35,235.0,18.35,241.5,-0.35,12:39.4,38,38,1:16.23,13:53.46,0.97,12:39.4,1:35.89,14:45.35,1.31,1:23.0,36,36,39.85,1:56.3,0.84,1:23,44.34,1:57.86,0.79
Phil Hesketh,663,2:57.2,132,132,21.53,3:04.54,0.34,2:57.2,21.53,3:04.54,0.34,8:09.8,21,21,1:38.95,10:20.94,1.33,8:09.8,1:58.79,10:34.97,1.22,C+62,67,67,34.94,25:36.09,,29:06,2:17.38,30:44.56,0.72,C+1,223,223,24,2:19.73,,3:01,34.24,2:37.26,-0.69,257,62,62,18.35,241.5,0.84,257.0,18.35,241.5,0.84,14:05.2,107,107,1:16.23,13:53.46,-0.15,14:05.2,1:35.89,14:45.35,0.42,1:24.9,51,51,39.85,1:56.3,0.79,1:24.9,44.34,1:57.86,0.74
Jacob Anderson,672,2:52.2,104,104,21.53,3:04.54,0.57,2:52.2,21.53,3:04.54,0.57,11:00.8,218,218,1:38.95,10:20.94,-0.4,11:00.8,1:58.79,10:34.97,-0.22,C+94,167,167,34.94,25:36.09,,30:42,2:17.38,30:44.56,0.02,2:12.8,89,89,24,2:19.73,0.29,2:12.8,34.24,2:37.26,0.71,255,72,72,18.35,241.5,0.74,255.0,18.35,241.5,0.74,11:37.8,10,10,1:16.23,13:53.46,1.78,11:37.8,1:35.89,14:45.35,1.96,1:20.6,12,12,39.85,1:56.3,0.9,1:20.6,44.34,1:57.86,0.84
Adam Davidson,678,3:13.8,224,224,21.53,3:04.54,-0.43,3:13.8,21.53,3:04.54,-0.43,9:26.9,104,104,1:38.95,10:20.94,0.55,9:26.9,1:58.79,10:34.97,0.57,C+53,48,48,34.94,25:36.09,,28:39,2:17.38,30:44.56,0.91,2:09.0,76,76,24,2:19.73,0.45,2:09,34.24,2:37.26,0.83,262,38,38,18.35,241.5,1.12,262.0,18.35,241.5,1.12,14:31.1,133,133,1:16.23,13:53.46,-0.49,14:31.1,1:35.89,14:45.35,0.15,1:25.3,55,55,39.85,1:56.3,0.78,1:25.3,44.34,1:57.86,0.73
Chad Mackay,692,2:41.2,43,43,21.53,3:04.54,1.08,2:41.2,21.53,3:04.54,1.08,12:13.3,269,269,1:38.95,10:20.94,-1.14,12:13.3,1:58.79,10:34.97,-0.83,C+73,102,102,34.94,25:36.09,,29:39,2:17.38,30:44.56,0.48,2:03.6,58,58,24,2:19.73,0.67,2:03.6,34.24,2:37.26,0.98,267,25,25,18.35,241.5,1.39,267.0,18.35,241.5,1.39,14:12.8,117,117,1:16.23,13:53.46,-0.25,14:12.8,1:35.89,14:45.35,0.34,1:28.5,78,78,39.85,1:56.3,0.7,1:28.5,44.34,1:57.86,0.66
Jacob Heighes,696,2:48.2,78,78,21.53,3:04.54,0.76,2:48.2,21.53,3:04.54,0.76,11:23.0,233,233,1:38.95,10:20.94,-0.63,11:23,1:58.79,10:34.97,-0.4,C+75,106,106,34.94,25:36.09,,29:45,2:17.38,30:44.56,0.43,2:22.3,116,116,24,2:19.73,-0.11,2:22.3,34.24,2:37.26,0.44,250,93,93,18.35,241.5,0.46,250.0,18.35,241.5,0.46,12:47.5,46,46,1:16.23,13:53.46,0.87,12:47.5,1:35.89,14:45.35,1.23,1:22.1,24,24,39.85,1:56.3,0.86,1:22.1,44.34,1:57.86,0.81
Wes Piatt,707,3:12.9,218,218,21.53,3:04.54,-0.39,3:12.9,21.53,3:04.54,-0.39,8:20.6,34,34,1:38.95,10:20.94,1.22,8:20.6,1:58.79,10:34.97,1.13,C+46,41,41,34.94,25:36.09,,28:18,2:17.38,30:44.56,1.07,2:54.0,201,201,24,2:19.73,-1.43,2:54,34.24,2:37.26,-0.49,257,62,62,18.35,241.5,0.84,257.0,18.35,241.5,0.84,13:53.7,98,98,1:16.23,13:53.46,-0.0,13:53.7,1:35.89,14:45.35,0.54,1:25.1,53,53,39.85,1:56.3,0.78,1:25.1,44.34,1:57.86,0.74
Ben Garard,712,3:17.3,238,238,21.53,3:04.54,-0.59,3:17.3,21.53,3:04.54,-0.59,10:56.8,212,212,1:38.95,10:20.94,-0.36,10:56.8,1:58.79,10:34.97,-0.18,C+40,35,35,34.94,25:36.09,,28:00,2:17.38,30:44.56,1.2,2:06.2,66,66,24,2:19.73,0.56,2:06.2,34.24,2:37.26,0.91,256,66,66,18.35,241.5,0.79,256.0,18.35,241.5,0.79,13:45.6,93,93,1:16.23,13:53.46,0.1,13:45.6,1:35.89,14:45.35,0.62,1:17.9,2,2,39.85,1:56.3,0.96,1:17.9,44.34,1:57.86,0.9
Kevin Manuel,712,3:19.9,248,248,21.53,3:04.54,-0.71,3:19.9,21.53,3:04.54,-0.71,9:13.8,85,85,1:38.95,10:20.94,0.68,9:13.8,1:58.79,10:34.97,0.68,C+64,76,76,34.94,25:36.09,,29:12,2:17.38,30:44.56,0.67,1:48.2,24,24,24,2:19.73,1.31,1:48.2,34.24,2:37.26,1.43,235,195,195,18.35,241.5,-0.35,235.0,18.35,241.5,-0.35,13:11.1,63,63,1:16.23,13:53.46,0.56,13:11.1,1:35.89,14:45.35,0.98,1:21.9,21,21,39.85,1:56.3,0.86,1:21.9,44.34,1:57.86,0.81
Garret Fisher,719,3:35.2,297,297,21.53,3:04.54,-1.42,3:35.2,21.53,3:04.54,-1.42,9:24.3,95,95,1:38.95,10:20.94,0.57,9:24.3,1:58.79,10:34.97,0.59,C+105,203,203,34.94,25:36.09,,31:25,2:17.38,30:44.56,-0.29,1:56.7,38,38,24,2:19.73,0.96,1:56.7,34.24,2:37.26,1.18,276,6,6,18.35,241.5,1.88,276.0,18.35,241.5,1.88,12:40.1,39,39,1:16.23,13:53.46,0.96,12:40.1,1:35.89,14:45.35,1.31,1:23.8,41,41,39.85,1:56.3,0.82,1:23.8,44.34,1:57.86,0.77
James Connew,724,2:52.5,107,107,21.53,3:04.54,0.56,2:52.5,21.53,3:04.54,0.56,9:09.5,82,82,1:38.95,10:20.94,0.72,9:09.5,1:58.79,10:34.97,0.72,C+68,80,80,34.94,25:36.09,,29:24,2:17.38,30:44.56,0.59,2:17.9,108,108,24,2:19.73,0.08,2:17.9,34.24,2:37.26,0.57,255,72,72,18.35,241.5,0.74,255.0,18.35,241.5,0.74,14:07.4,111,111,1:16.23,13:53.46,-0.18,14:07.4,1:35.89,14:45.35,0.4,1:43.9,164,164,39.85,1:56.3,0.31,1:43.9,44.34,1:57.86,0.31
Chad Cole,746,3:21.2,254,254,21.53,3:04.54,-0.77,3:21.2,21.53,3:04.54,-0.77,9:34.0,116,116,1:38.95,10:20.94,0.47,9:34,1:58.79,10:34.97,0.51,C+106,207,207,34.94,25:36.09,,31:30,2:17.38,30:44.56,-0.33,1:59.6,48,48,24,2:19.73,0.84,1:59.6,34.24,2:37.26,1.1,266,28,28,18.35,241.5,1.34,266.0,18.35,241.5,1.34,12:04.7,24,24,1:16.23,13:53.46,1.43,12:04.7,1:35.89,14:45.35,1.68,1:26.4,69,69,39.85,1:56.3,0.75,1:26.4,44.34,1:57.86,0.71
Ryan Hignell,753,2:49.5,84,84,21.53,3:04.54,0.7,2:49.5,21.53,3:04.54,0.7,10:11.6,160,160,1:38.95,10:20.94,0.09,10:11.6,1:58.79,10:34.97,0.2,C+98,183,183,34.94,25:36.09,,30:54,2:17.38,30:44.56,-0.07,2:46.7,182,182,24,2:19.73,-1.12,2:46.7,34.24,2:37.26,-0.28,260,53,53,18.35,241.5,1.01,260.0,18.35,241.5,1.01,11:01.6,1,1,1:16.23,13:53.46,2.25,11:01.6,1:35.89,14:45.35,2.33,1:30.1,90,90,39.85,1:56.3,0.66,1:30.1,44.34,1:57.86,0.63
Pascal Baillargeon,753,3:11.9,209,209,21.53,3:04.54,-0.34,3:11.9,21.53,3:04.54,-0.34,9:00.1,67,67,1:38.95,10:20.94,0.82,9:00.1,1:58.79,10:34.97,0.8,C+80,119,119,34.94,25:36.09,,30:00,2:17.38,30:44.56,0.32,2:23.6,121,121,24,2:19.73,-0.16,2:23.6,34.24,2:37.26,0.4,275,8,8,18.35,241.5,1.83,275.0,18.35,241.5,1.83,13:28.3,81,81,1:16.23,13:53.46,0.33,13:28.3,1:35.89,14:45.35,0.8,1:41.3,148,148,39.85,1:56.3,0.38,1:41.3,44.34,1:57.86,0.37
Jordan Troyan,765,3:15.4,227,227,21.53,3:04.54,-0.5,3:15.4,21.53,3:04.54,-0.5,8:16.1,29,29,1:38.95,10:20.94,1.26,8:16.1,1:58.79,10:34.97,1.17,C+87,144,144,34.94,25:36.09,,30:21,2:17.38,30:44.56,0.17,2:30.9,135,135,24,2:19.73,-0.47,2:30.9,34.24,2:37.26,0.19,241,145,145,18.35,241.5,-0.03,241.0,18.35,241.5,-0.03,11:50.4,16,16,1:16.23,13:53.46,1.61,11:50.4,1:35.89,14:45.35,1.82,1:26.4,69,69,39.85,1:56.3,0.75,1:26.4,44.34,1:57.86,0.71
Daniel Petro,768,2:51.5,97,97,21.53,3:04.54,0.61,2:51.5,21.53,3:04.54,0.61,9:22.7,93,93,1:38.95,10:20.94,0.59,9:22.7,1:58.79,10:34.97,0.61,C+86,138,138,34.94,25:36.09,,30:18,2:17.38,30:44.56,0.19,C+0,216,216,24,2:19.73,,3:00,34.24,2:37.26,-0.66,256,66,66,18.35,241.5,0.79,256.0,18.35,241.5,0.79,13:07.5,60,60,1:16.23,13:53.46,0.6,13:07.5,1:35.89,14:45.35,1.02,1:31.7,98,98,39.85,1:56.3,0.62,1:31.7,44.34,1:57.86,0.59
Sam Dancer,768,2:28.9,8,8,21.53,3:04.54,1.65,2:28.9,21.53,3:04.54,1.65,9:12.7,84,84,1:38.95,10:20.94,0.69,9:12.7,1:58.79,10:34.97,0.69,C+32,24,24,34.94,25:36.09,,27:36,2:17.38,30:44.56,1.37,C+10,285,285,24,2:19.73,,3:10,34.24,2:37.26,-0.96,275,8,8,18.35,241.5,1.83,275.0,18.35,241.5,1.83,14:36.5,138,138,1:16.23,13:53.46,-0.56,14:36.5,1:35.89,14:45.35,0.09,2:01.1,221,221,39.85,1:56.3,-0.12,2:01.1,44.34,1:57.86,-0.07
Stephen Pinkerton,776,2:52.3,105,105,21.53,3:04.54,0.57,2:52.3,21.53,3:04.54,0.57,9:29.2,105,105,1:38.95,10:20.94,0.52,9:29.2,1:58.79,10:34.97,0.55,C+61,65,65,34.94,25:36.09,,29:03,2:17.38,30:44.56,0.74,2:53.3,199,199,24,2:19.73,-1.4,2:53.3,34.24,2:37.26,-0.47,265,31,31,18.35,241.5,1.28,265.0,18.35,241.5,1.28,15:46.9,200,200,1:16.23,13:53.46,-1.49,15:46.9,1:35.89,14:45.35,-0.64,1:26.5,71,71,39.85,1:56.3,0.75,1:26.5,44.34,1:57.86,0.71
Allan Dunlap,779,3:02.5,168,168,21.53,3:04.54,0.09,3:02.5,21.53,3:04.54,0.09,9:47.8,128,128,1:38.95,10:20.94,0.33,9:47.8,1:58.79,10:34.97,0.4,C+33,26,26,34.94,25:36.09,,27:39,2:17.38,30:44.56,1.35,2:40.5,160,160,24,2:19.73,-0.87,2:40.5,34.24,2:37.26,-0.09,241,145,145,18.35,241.5,-0.03,241.0,18.35,241.5,-0.03,13:06.8,58,58,1:16.23,13:53.46,0.61,13:06.8,1:35.89,14:45.35,1.03,1:31.1,94,94,39.85,1:56.3,0.63,1:31.1,44.34,1:57.86,0.6
Corey Lunney,787,3:03.7,176,176,21.53,3:04.54,0.04,3:03.7,21.53,3:04.54,0.04,8:53.3,58,58,1:38.95,10:20.94,0.89,8:53.3,1:58.79,10:34.97,0.86,C+88,145,145,34.94,25:36.09,,30:24,2:17.38,30:44.56,0.15,1:49.4,27,27,24,2:19.73,1.26,1:49.4,34.24,2:37.26,1.4,241,145,145,18.35,241.5,-0.03,241.0,18.35,241.5,-0.03,13:54.4,100,100,1:16.23,13:53.46,-0.01,13:54.4,1:35.89,14:45.35,0.53,1:37.5,136,136,39.85,1:56.3,0.47,1:37.5,44.34,1:57.86,0.46
Dakota Rager,797,2:40.1,40,40,21.53,3:04.54,1.13,2:40.1,21.53,3:04.54,1.13,10:19.4,169,169,1:38.95,10:20.94,0.02,10:19.4,1:58.79,10:34.97,0.13,C+62,67,67,34.94,25:36.09,,29:06,2:17.38,30:44.56,0.72,2:03.5,57,57,24,2:19.73,0.68,2:03.5,34.24,2:37.26,0.99,205,293,293,18.35,241.5,-1.99,205.0,18.35,241.5,-1.99,12:47.2,45,45,1:16.23,13:53.46,0.87,12:47.2,1:35.89,14:45.35,1.23,1:36.0,126,126,39.85,1:56.3,0.51,1:36,44.34,1:57.86,0.49
Alex Nettey,798,3:01.8,165,165,21.53,3:04.54,0.13,3:01.8,21.53,3:04.54,0.13,8:57.1,64,64,1:38.95,10:20.94,0.85,8:57.1,1:58.79,10:34.97,0.82,C+60,60,60,34.94,25:36.09,,29:00,2:17.38,30:44.56,0.76,2:29.3,132,132,24,2:19.73,-0.4,2:29.3,34.24,2:37.26,0.23,262,38,38,18.35,241.5,1.12,262.0,18.35,241.5,1.12,13:38.8,89,89,1:16.23,13:53.46,0.19,13:38.8,1:35.89,14:45.35,0.69,2:15.1,250,250,39.85,1:56.3,-0.47,2:15.1,44.34,1:57.86,-0.39
Dre Strohm,810,2:38.9,34,34,21.53,3:04.54,1.19,2:38.9,21.53,3:04.54,1.19,9:33.7,114,114,1:38.95,10:20.94,0.48,9:33.7,1:58.79,10:34.97,0.52,C+46,41,41,34.94,25:36.09,,28:18,2:17.38,30:44.56,1.07,2:06.2,66,66,24,2:19.73,0.56,2:06.2,34.24,2:37.26,0.91,225,246,246,18.35,241.5,-0.9,225.0,18.35,241.5,-0.9,C+1,211,211,1:16.23,13:53.46,,16:01,1:35.89,14:45.35,-0.79,1:31.7,98,98,39.85,1:56.3,0.62,1:31.7,44.34,1:57.86,0.59
Filip Yang Fisker,816,2:45.0,67,67,21.53,3:04.54,0.91,2:45,21.53,3:04.54,0.91,10:17.0,167,167,1:38.95,10:20.94,0.04,10:17,1:58.79,10:34.97,0.15,C+115,243,243,34.94,25:36.09,,32:15,2:17.38,30:44.56,-0.66,1:24.2,2,2,24,2:19.73,2.31,1:24.2,34.24,2:37.26,2.13,265,31,31,18.35,241.5,1.28,265.0,18.35,241.5,1.28,C+1,211,211,1:16.23,13:53.46,,16:01,1:35.89,14:45.35,-0.79,1:31.4,95,95,39.85,1:56.3,0.62,1:31.4,44.34,1:57.86,0.6
