Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Meaghan Gonzalez,559,2:48.7,33,33,31.21,3:22.71,1.09,2:48.7,31.21,3:22.71,1.09,11:55.7,108,108,1:50.4,12:33.01,0.34,11:55.7,2:04.57,12:58.75,0.51,C+100,112,112,36.49,25:05.84,,31:00,2:28.76,31:44.03,0.3,C+0,112,112,25.83,2:18.15,,3:00,37.92,2:55.74,-0.11,175,31,31,16.06,155.2,1.23,175.0,16.06,155.2,1.23,C+26,129,129,46.45,14:52.56,,16:26,1:11.71,16:43.43,0.24,2:04.6,34,34,1:06.6,3:21.34,1.15,2:04.6,1:28.13,3:52.03,1.22
Jessica Schulz,563,3:20.2,158,158,31.21,3:22.71,0.08,3:20.2,31.21,3:22.71,0.08,10:43.8,45,45,1:50.4,12:33.01,0.99,10:43.8,2:04.57,12:58.75,1.08,C+77,62,62,36.49,25:05.84,,29:51,2:28.76,31:44.03,0.76,2:34.6,79,79,25.83,2:18.15,-0.64,2:34.6,37.92,2:55.74,0.56,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,C+14,91,91,46.45,14:52.56,,16:14,1:11.71,16:43.43,0.41,2:06.9,36,36,1:06.6,3:21.34,1.12,2:06.9,1:28.13,3:52.03,1.19
Michele Fumagalli,570,3:00.9,82,82,31.21,3:22.71,0.7,3:00.9,31.21,3:22.71,0.7,14:04.5,207,207,1:50.4,12:33.01,-0.83,14:04.5,2:04.57,12:58.75,-0.53,C+57,39,39,36.49,25:05.84,,28:51,2:28.76,31:44.03,1.16,2:17.0,52,52,25.83,2:18.15,0.04,2:17,37.92,2:55.74,1.02,167,62,62,16.06,155.2,0.73,167.0,16.06,155.2,0.73,C+19,105,105,46.45,14:52.56,,16:19,1:11.71,16:43.43,0.34,1:56.4,23,23,1:06.6,3:21.34,1.28,1:56.4,1:28.13,3:52.03,1.31
Stephanie Ortiz,595,2:50.2,41,41,31.21,3:22.71,1.04,2:50.2,31.21,3:22.71,1.04,8:56.9,7,7,1:50.4,12:33.01,1.96,8:56.9,2:04.57,12:58.75,1.94,C+90,89,89,36.49,25:05.84,,30:30,2:28.76,31:44.03,0.5,2:01.2,31,31,25.83,2:18.15,0.66,2:01.2,37.92,2:55.74,1.44,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+6,70,70,46.45,14:52.56,,16:06,1:11.71,16:43.43,0.52,4:42.0,216,216,1:06.6,3:21.34,-1.21,4:42,1:28.13,3:52.03,-0.57
Grace Dresher,602,3:06.2,106,106,31.21,3:22.71,0.53,3:06.2,31.21,3:22.71,0.53,10:26.2,37,37,1:50.4,12:33.01,1.15,10:26.2,2:04.57,12:58.75,1.22,C+103,119,119,36.49,25:05.84,,31:15,2:28.76,31:44.03,0.2,C+0,112,112,25.83,2:18.15,,3:00,37.92,2:55.74,-0.11,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+10,83,83,46.45,14:52.56,,16:10,1:11.71,16:43.43,0.47,2:35.0,71,71,1:06.6,3:21.34,0.7,2:35,1:28.13,3:52.03,0.87
Maude Charron,607,3:12.2,129,129,31.21,3:22.71,0.34,3:12.2,31.21,3:22.71,0.34,11:57.0,109,109,1:50.4,12:33.01,0.33,11:57,2:04.57,12:58.75,0.5,C+124,209,209,36.49,25:05.84,,33:00,2:28.76,31:44.03,-0.51,1:56.6,27,27,25.83,2:18.15,0.83,1:56.6,37.92,2:55.74,1.56,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,C+3,57,57,46.45,14:52.56,,16:03,1:11.71,16:43.43,0.56,2:20.0,56,56,1:06.6,3:21.34,0.92,2:20,1:28.13,3:52.03,1.04
Lindy Barber,609,3:01.1,84,84,31.21,3:22.71,0.69,3:01.1,31.21,3:22.71,0.69,10:21.4,35,35,1:50.4,12:33.01,1.19,10:21.4,2:04.57,12:58.75,1.26,C+76,60,60,36.49,25:05.84,,29:48,2:28.76,31:44.03,0.78,C+50,287,287,25.83,2:18.15,,3:50,37.92,2:55.74,-1.43,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,15:31.6,36,36,46.45,14:52.56,-0.84,15:31.6,1:11.71,16:43.43,1.0,2:03.6,33,33,1:06.6,3:21.34,1.17,2:03.6,1:28.13,3:52.03,1.23
Bjork Odinsdottir,616,2:36.8,12,12,31.21,3:22.71,1.47,2:36.8,31.21,3:22.71,1.47,13:53.0,199,199,1:50.4,12:33.01,-0.72,13:53,2:04.57,12:58.75,-0.44,C+101,115,115,36.49,25:05.84,,31:05,2:28.76,31:44.03,0.26,1:41.5,11,11,25.83,2:18.15,1.42,1:41.5,37.92,2:55.74,1.96,157,124,124,16.06,155.2,0.11,157.0,16.06,155.2,0.11,C+5,65,65,46.45,14:52.56,,16:05,1:11.71,16:43.43,0.54,2:47.8,90,90,1:06.6,3:21.34,0.5,2:47.8,1:28.13,3:52.03,0.73
Chelsey Hughes,624,3:25.2,181,181,31.21,3:22.71,-0.08,3:25.2,31.21,3:22.71,-0.08,13:21.0,176,176,1:50.4,12:33.01,-0.43,13:21,2:04.57,12:58.75,-0.18,C+49,27,27,36.49,25:05.84,,28:27,2:28.76,31:44.03,1.32,2:27.1,70,70,25.83,2:18.15,-0.35,2:27.1,37.92,2:55.74,0.76,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,14:42.9,16,16,46.45,14:52.56,0.21,14:42.9,1:11.71,16:43.43,1.68,2:25.1,62,62,1:06.6,3:21.34,0.84,2:25.1,1:28.13,3:52.03,0.99
Tiffany Hendrickson,628,3:29.1,197,197,31.21,3:22.71,-0.2,3:29.1,31.21,3:22.71,-0.2,12:23.2,137,137,1:50.4,12:33.01,0.09,12:23.2,2:04.57,12:58.75,0.29,C+51,30,30,36.49,25:05.84,,28:33,2:28.76,31:44.03,1.28,1:49.4,17,17,25.83,2:18.15,1.11,1:49.4,37.92,2:55.74,1.75,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,15:02.5,24,24,46.45,14:52.56,-0.21,15:02.5,1:11.71,16:43.43,1.41,2:03.0,32,32,1:06.6,3:21.34,1.18,2:03,1:28.13,3:52.03,1.24
Tasia Percevecz,629,3:17.7,147,147,31.21,3:22.71,0.16,3:17.7,31.21,3:22.71,0.16,13:57.6,202,202,1:50.4,12:33.01,-0.77,13:57.6,2:04.57,12:58.75,-0.47,C+92,92,92,36.49,25:05.84,,30:36,2:28.76,31:44.03,0.46,1:36.7,9,9,25.83,2:18.15,1.6,1:36.7,37.92,2:55.74,2.08,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+3,57,57,46.45,14:52.56,,16:03,1:11.71,16:43.43,0.56,2:15.2,48,48,1:06.6,3:21.34,0.99,2:15.2,1:28.13,3:52.03,1.1
Tennil Reed,635,3:27.2,192,192,31.21,3:22.71,-0.14,3:27.2,31.21,3:22.71,-0.14,9:58.4,28,28,1:50.4,12:33.01,1.4,9:58.4,2:04.57,12:58.75,1.45,C+83,78,78,36.49,25:05.84,,30:09,2:28.76,31:44.03,0.64,1:53.5,19,19,25.83,2:18.15,0.95,1:53.5,37.92,2:55.74,1.64,167,62,62,16.06,155.2,0.73,167.0,16.06,155.2,0.73,C+26,129,129,46.45,14:52.56,,16:26,1:11.71,16:43.43,0.24,3:21.9,127,127,1:06.6,3:21.34,-0.01,3:21.9,1:28.13,3:52.03,0.34
Deborah Cordner Carson,638,3:01.2,85,85,31.21,3:22.71,0.69,3:01.2,31.21,3:22.71,0.69,10:42.2,43,43,1:50.4,12:33.01,1.0,10:42.2,2:04.57,12:58.75,1.1,C+91,91,91,36.49,25:05.84,,30:33,2:28.76,31:44.03,0.48,2:26.1,66,66,25.83,2:18.15,-0.31,2:26.1,37.92,2:55.74,0.78,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+50,171,171,46.45,14:52.56,,16:50,1:11.71,16:43.43,-0.09,2:12.3,41,41,1:06.6,3:21.34,1.04,2:12.3,1:28.13,3:52.03,1.13
Kaleena Ladeairous,640,2:26.7,2,2,31.21,3:22.71,1.79,2:26.7,31.21,3:22.71,1.79,11:44.9,93,93,1:50.4,12:33.01,0.44,11:44.9,2:04.57,12:58.75,0.59,25:32.0,8,8,36.49,25:05.84,-0.72,25:32,2:28.76,31:44.03,2.5,C+5,154,154,25.83,2:18.15,,3:05,37.92,2:55.74,-0.24,146,207,207,16.06,155.2,-0.57,146.0,16.06,155.2,-0.57,C+3,57,57,46.45,14:52.56,,16:03,1:11.71,16:43.43,0.56,3:17.3,119,119,1:06.6,3:21.34,0.06,3:17.3,1:28.13,3:52.03,0.39
Christy Adkins,649,2:55.9,56,56,31.21,3:22.71,0.86,2:55.9,31.21,3:22.71,0.86,11:01.7,57,57,1:50.4,12:33.01,0.83,11:01.7,2:04.57,12:58.75,0.94,C+53,34,34,36.49,25:05.84,,28:39,2:28.76,31:44.03,1.24,C+7,180,180,25.83,2:18.15,,3:07,37.92,2:55.74,-0.3,148,190,190,16.06,155.2,-0.45,148.0,16.06,155.2,-0.45,C+23,116,116,46.45,14:52.56,,16:23,1:11.71,16:43.43,0.28,1:48.1,16,16,1:06.6,3:21.34,1.4,1:48.1,1:28.13,3:52.03,1.41
Charis Chan,652,2:44.0,20,20,31.21,3:22.71,1.24,2:44,31.21,3:22.71,1.24,12:38.4,149,149,1:50.4,12:33.01,-0.05,12:38.4,2:04.57,12:58.75,0.16,C+107,133,133,36.49,25:05.84,,31:35,2:28.76,31:44.03,0.06,C+60,291,291,25.83,2:18.15,,4:00,37.92,2:55.74,-1.69,182,12,12,16.06,155.2,1.67,182.0,16.06,155.2,1.67,15:55.2,45,45,46.45,14:52.56,-1.35,15:55.2,1:11.71,16:43.43,0.67,1:24.8,2,2,1:06.6,3:21.34,1.75,1:24.8,1:28.13,3:52.03,1.67
Rachel Garibay,653,2:47.6,31,31,31.21,3:22.71,1.12,2:47.6,31.21,3:22.71,1.12,14:18.6,221,221,1:50.4,12:33.01,-0.96,14:18.6,2:04.57,12:58.75,-0.64,C+94,94,94,36.49,25:05.84,,30:42,2:28.76,31:44.03,0.42,2:39.9,83,83,25.83,2:18.15,-0.84,2:39.9,37.92,2:55.74,0.42,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,15:33.4,37,37,46.45,14:52.56,-0.88,15:33.4,1:11.71,16:43.43,0.98,2:38.3,77,77,1:06.6,3:21.34,0.65,2:38.3,1:28.13,3:52.03,0.84
Brista Mayfield,654,2:54.1,52,52,31.21,3:22.71,0.92,2:54.1,31.21,3:22.71,0.92,12:00.2,112,112,1:50.4,12:33.01,0.3,12:00.2,2:04.57,12:58.75,0.47,C+99,110,110,36.49,25:05.84,,30:57,2:28.76,31:44.03,0.32,1:55.6,25,25,25.83,2:18.15,0.87,1:55.6,37.92,2:55.74,1.59,161,105,105,16.06,155.2,0.36,161.0,16.06,155.2,0.36,C+25,122,122,46.45,14:52.56,,16:25,1:11.71,16:43.43,0.26,3:22.0,128,128,1:06.6,3:21.34,-0.01,3:22,1:28.13,3:52.03,0.34
whitney gelin,661,3:12.0,127,127,31.21,3:22.71,0.34,3:12,31.21,3:22.71,0.34,10:51.3,49,49,1:50.4,12:33.01,0.92,10:51.3,2:04.57,12:58.75,1.02,C+80,69,69,36.49,25:05.84,,30:00,2:28.76,31:44.03,0.7,C+5,154,154,25.83,2:18.15,,3:05,37.92,2:55.74,-0.24,175,31,31,16.06,155.2,1.23,175.0,16.06,155.2,1.23,C+50,171,171,46.45,14:52.56,,16:50,1:11.71,16:43.43,-0.09,2:21.8,60,60,1:06.6,3:21.34,0.89,2:21.8,1:28.13,3:52.03,1.02
Jessa Lemoine,663,2:45.3,25,25,31.21,3:22.71,1.2,2:45.3,31.21,3:22.71,1.2,12:06.2,122,122,1:50.4,12:33.01,0.24,12:06.2,2:04.57,12:58.75,0.42,C+122,198,198,36.49,25:05.84,,32:50,2:28.76,31:44.03,-0.44,2:19.0,56,56,25.83,2:18.15,-0.03,2:19,37.92,2:55.74,0.97,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,14:57.9,21,21,46.45,14:52.56,-0.11,14:57.9,1:11.71,16:43.43,1.47,3:25.0,131,131,1:06.6,3:21.34,-0.05,3:25,1:28.13,3:52.03,0.31
Alexis Johnson,663,3:00.9,82,82,31.21,3:22.71,0.7,3:00.9,31.21,3:22.71,0.7,11:21.6,76,76,1:50.4,12:33.01,0.65,11:21.6,2:04.57,12:58.75,0.78,C+65,51,51,36.49,25:05.84,,29:15,2:28.76,31:44.03,1.0,2:12.0,46,46,25.83,2:18.15,0.24,2:12,37.92,2:55.74,1.15,,299,299,,,,,,,,C+4,62,62,46.45,14:52.56,,16:04,1:11.71,16:43.43,0.55,2:14.9,47,47,1:06.6,3:21.34,1.0,2:14.9,1:28.13,3:52.03,1.1
Regan Huckaby,668,2:57.4,63,63,31.21,3:22.71,0.81,2:57.4,31.21,3:22.71,0.81,12:28.9,143,143,1:50.4,12:33.01,0.04,12:28.9,2:04.57,12:58.75,0.24,C+94,94,94,36.49,25:05.84,,30:42,2:28.76,31:44.03,0.42,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,167,62,62,16.06,155.2,0.73,167.0,16.06,155.2,0.73,C+10,83,83,46.45,14:52.56,,16:10,1:11.71,16:43.43,0.47,2:02.5,30,30,1:06.6,3:21.34,1.18,2:02.5,1:28.13,3:52.03,1.24
Kirsten Pedri,683,3:04.4,99,99,31.21,3:22.71,0.59,3:04.4,31.21,3:22.71,0.59,9:09.7,9,9,1:50.4,12:33.01,1.84,9:09.7,2:04.57,12:58.75,1.84,C+96,99,99,36.49,25:05.84,,30:48,2:28.76,31:44.03,0.38,C+20,271,271,25.83,2:18.15,,3:20,37.92,2:55.74,-0.64,170,51,51,16.06,155.2,0.92,170.0,16.06,155.2,0.92,C+3,57,57,46.45,14:52.56,,16:03,1:11.71,16:43.43,0.56,2:54.8,97,97,1:06.6,3:21.34,0.4,2:54.8,1:28.13,3:52.03,0.65
Courtney Walker,684,3:21.7,168,168,31.21,3:22.71,0.03,3:21.7,31.21,3:22.71,0.03,11:32.2,84,84,1:50.4,12:33.01,0.55,11:32.2,2:04.57,12:58.75,0.69,C+117,174,174,36.49,25:05.84,,32:25,2:28.76,31:44.03,-0.28,1:54.3,20,20,25.83,2:18.15,0.92,1:54.3,37.92,2:55.74,1.62,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,2:35.8,73,73,1:06.6,3:21.34,0.68,2:35.8,1:28.13,3:52.03,0.86
Rachel Goldenberg,696,3:30.0,202,202,31.21,3:22.71,-0.23,3:30,31.21,3:22.71,-0.23,11:15.5,67,67,1:50.4,12:33.01,0.7,11:15.5,2:04.57,12:58.75,0.83,C+132,243,243,36.49,25:05.84,,33:40,2:28.76,31:44.03,-0.78,1:35.2,6,6,25.83,2:18.15,1.66,1:35.2,37.92,2:55.74,2.12,156,133,133,16.06,155.2,0.05,156.0,16.06,155.2,0.05,15:28.6,34,34,46.45,14:52.56,-0.78,15:28.6,1:11.71,16:43.43,1.04,1:36.7,11,11,1:06.6,3:21.34,1.57,1:36.7,1:28.13,3:52.03,1.54
Alea Helmick,697,2:55.7,54,54,31.21,3:22.71,0.87,2:55.7,31.21,3:22.71,0.87,11:55.2,105,105,1:50.4,12:33.01,0.34,11:55.2,2:04.57,12:58.75,0.51,C+111,145,145,36.49,25:05.84,,31:55,2:28.76,31:44.03,-0.07,C+5,154,154,25.83,2:18.15,,3:05,37.92,2:55.74,-0.24,171,48,48,16.06,155.2,0.98,171.0,16.06,155.2,0.98,C+46,162,162,46.45,14:52.56,,16:46,1:11.71,16:43.43,-0.04,2:02.1,29,29,1:06.6,3:21.34,1.19,2:02.1,1:28.13,3:52.03,1.25
Alyssa Ritchey,703,3:44.3,249,249,31.21,3:22.71,-0.69,3:44.3,31.21,3:22.71,-0.69,11:57.2,110,110,1:50.4,12:33.01,0.32,11:57.2,2:04.57,12:58.75,0.49,C+105,126,126,36.49,25:05.84,,31:25,2:28.76,31:44.03,0.13,1:27.4,2,2,25.83,2:18.15,1.96,1:27.4,37.92,2:55.74,2.33,152,176,176,16.06,155.2,-0.2,152.0,16.06,155.2,-0.2,15:00.1,23,23,46.45,14:52.56,-0.16,15:00.1,1:11.71,16:43.43,1.44,1:50.8,17,17,1:06.6,3:21.34,1.36,1:50.8,1:28.13,3:52.03,1.38
Natalie Newhart,705,3:20.5,163,163,31.21,3:22.71,0.07,3:20.5,31.21,3:22.71,0.07,9:42.9,20,20,1:50.4,12:33.01,1.54,9:42.9,2:04.57,12:58.75,1.57,C+19,13,13,36.49,25:05.84,,26:57,2:28.76,31:44.03,1.93,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,130,280,280,16.06,155.2,-1.57,130.0,16.06,155.2,-1.57,14:41.2,15,15,46.45,14:52.56,0.24,14:41.2,1:11.71,16:43.43,1.7,2:46.3,87,87,1:06.6,3:21.34,0.53,2:46.3,1:28.13,3:52.03,0.75
chloe gauvin-david,706,3:45.6,254,254,31.21,3:22.71,-0.73,3:45.6,31.21,3:22.71,-0.73,11:10.5,64,64,1:50.4,12:33.01,0.75,11:10.5,2:04.57,12:58.75,0.87,C+54,36,36,36.49,25:05.84,,28:42,2:28.76,31:44.03,1.22,1:39.3,10,10,25.83,2:18.15,1.5,1:39.3,37.92,2:55.74,2.02,152,176,176,16.06,155.2,-0.2,152.0,16.06,155.2,-0.2,13:30.4,3,3,46.45,14:52.56,1.77,13:30.4,1:11.71,16:43.43,2.69,3:51.3,163,163,1:06.6,3:21.34,-0.45,3:51.3,1:28.13,3:52.03,0.01
Sheila Barden,710,3:08.6,115,115,31.21,3:22.71,0.45,3:08.6,31.21,3:22.71,0.45,11:03.5,58,58,1:50.4,12:33.01,0.81,11:03.5,2:04.57,12:58.75,0.93,C+47,24,24,36.49,25:05.84,,28:21,2:28.76,31:44.03,1.36,C+20,271,271,25.83,2:18.15,,3:20,37.92,2:55.74,-0.64,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,14:55.6,20,20,46.45,14:52.56,-0.07,14:55.6,1:11.71,16:43.43,1.5,3:24.5,130,130,1:06.6,3:21.34,-0.05,3:24.5,1:28.13,3:52.03,0.31
Anna Fragkou,718,3:17.1,143,143,31.21,3:22.71,0.18,3:17.1,31.21,3:22.71,0.18,14:51.0,245,245,1:50.4,12:33.01,-1.25,14:51,2:04.57,12:58.75,-0.9,C+76,60,60,36.49,25:05.84,,29:48,2:28.76,31:44.03,0.78,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,170,51,51,16.06,155.2,0.92,170.0,16.06,155.2,0.92,15:41.6,40,40,46.45,14:52.56,-1.06,15:41.6,1:11.71,16:43.43,0.86,2:17.1,52,52,1:06.6,3:21.34,0.96,2:17.1,1:28.13,3:52.03,1.08
Kristin Miller,719,3:03.8,95,95,31.21,3:22.71,0.61,3:03.8,31.21,3:22.71,0.61,12:18.9,132,132,1:50.4,12:33.01,0.13,12:18.9,2:04.57,12:58.75,0.32,C+52,31,31,36.49,25:05.84,,28:36,2:28.76,31:44.03,1.26,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,157,124,124,16.06,155.2,0.11,157.0,16.06,155.2,0.11,C+2,52,52,46.45,14:52.56,,16:02,1:11.71,16:43.43,0.58,2:33.4,69,69,1:06.6,3:21.34,0.72,2:33.4,1:28.13,3:52.03,0.89
Justine Beath,737,3:23.8,175,175,31.21,3:22.71,-0.03,3:23.8,31.21,3:22.71,-0.03,10:09.5,31,31,1:50.4,12:33.01,1.3,10:09.5,2:04.57,12:58.75,1.36,C+52,31,31,36.49,25:05.84,,28:36,2:28.76,31:44.03,1.26,C+6,167,167,25.83,2:18.15,,3:06,37.92,2:55.74,-0.27,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+22,112,112,46.45,14:52.56,,16:22,1:11.71,16:43.43,0.3,3:39.2,147,147,1:06.6,3:21.34,-0.27,3:39.2,1:28.13,3:52.03,0.15
Whitney Heuser,738,3:39.6,237,237,31.21,3:22.71,-0.54,3:39.6,31.21,3:22.71,-0.54,10:42.6,44,44,1:50.4,12:33.01,1.0,10:42.6,2:04.57,12:58.75,1.09,C+105,126,126,36.49,25:05.84,,31:25,2:28.76,31:44.03,0.13,2:59.0,109,109,25.83,2:18.15,-1.58,2:59,37.92,2:55.74,-0.09,167,62,62,16.06,155.2,0.73,167.0,16.06,155.2,0.73,C+11,85,85,46.45,14:52.56,,16:11,1:11.71,16:43.43,0.45,2:36.3,75,75,1:06.6,3:21.34,0.68,2:36.3,1:28.13,3:52.03,0.86
Julie Foucher,750,2:49.0,34,34,31.21,3:22.71,1.08,2:49,31.21,3:22.71,1.08,9:15.9,10,10,1:50.4,12:33.01,1.79,9:15.9,2:04.57,12:58.75,1.79,C+64,50,50,36.49,25:05.84,,29:12,2:28.76,31:44.03,1.02,2:17.1,53,53,25.83,2:18.15,0.04,2:17.1,37.92,2:55.74,1.02,85,298,298,16.06,155.2,-4.37,85.0,16.06,155.2,-4.37,15:38.2,39,39,46.45,14:52.56,-0.98,15:38.2,1:11.71,16:43.43,0.91,C+5,266,266,1:06.6,3:21.34,,6:05,1:28.13,3:52.03,-1.51
Caroline Dardini,750,3:38.1,232,232,31.21,3:22.71,-0.49,3:38.1,31.21,3:22.71,-0.49,12:22.7,135,135,1:50.4,12:33.01,0.09,12:22.7,2:04.57,12:58.75,0.29,C+57,39,39,36.49,25:05.84,,28:51,2:28.76,31:44.03,1.16,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,C+18,99,99,46.45,14:52.56,,16:18,1:11.71,16:43.43,0.35,1:57.7,26,26,1:06.6,3:21.34,1.26,1:57.7,1:28.13,3:52.03,1.3
Alex Parker,756,3:02.0,87,87,31.21,3:22.71,0.66,3:02,31.21,3:22.71,0.66,9:37.6,18,18,1:50.4,12:33.01,1.59,9:37.6,2:04.57,12:58.75,1.61,25:25.1,6,6,36.49,25:05.84,-0.53,25:25.1,2:28.76,31:44.03,2.55,C+3,140,140,25.83,2:18.15,,3:03,37.92,2:55.74,-0.19,158,122,122,16.06,155.2,0.17,158.0,16.06,155.2,0.17,C+66,221,221,46.45,14:52.56,,17:06,1:11.71,16:43.43,-0.31,3:50.4,162,162,1:06.6,3:21.34,-0.44,3:50.4,1:28.13,3:52.03,0.02
Caitlin Ritchey,767,2:55.9,56,56,31.21,3:22.71,0.86,2:55.9,31.21,3:22.71,0.86,11:42.0,92,92,1:50.4,12:33.01,0.46,11:42,2:04.57,12:58.75,0.62,C+77,62,62,36.49,25:05.84,,29:51,2:28.76,31:44.03,0.76,C+5,154,154,25.83,2:18.15,,3:05,37.92,2:55.74,-0.24,156,133,133,16.06,155.2,0.05,156.0,16.06,155.2,0.05,C+62,217,217,46.45,14:52.56,,17:02,1:11.71,16:43.43,-0.26,2:17.8,53,53,1:06.6,3:21.34,0.95,2:17.8,1:28.13,3:52.03,1.07
Mikki Nuccio,769,2:29.4,5,5,31.21,3:22.71,1.71,2:29.4,31.21,3:22.71,1.71,12:46.0,155,155,1:50.4,12:33.01,-0.12,12:46,2:04.57,12:58.75,0.1,C+85,81,81,36.49,25:05.84,,30:15,2:28.76,31:44.03,0.6,C+80,298,298,25.83,2:18.15,,4:20,37.92,2:55.74,-2.22,172,41,41,16.06,155.2,1.05,172.0,16.06,155.2,1.05,C+46,162,162,46.45,14:52.56,,16:46,1:11.71,16:43.43,-0.04,2:00.6,27,27,1:06.6,3:21.34,1.21,2:00.6,1:28.13,3:52.03,1.26
Kristi Eramo,775,3:38.2,233,233,31.21,3:22.71,-0.5,3:38.2,31.21,3:22.71,-0.5,9:44.2,22,22,1:50.4,12:33.01,1.53,9:44.2,2:04.57,12:58.75,1.56,C+72,55,55,36.49,25:05.84,,29:36,2:28.76,31:44.03,0.86,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,153,173,173,16.06,155.2,-0.14,153.0,16.06,155.2,-0.14,C+3,57,57,46.45,14:52.56,,16:03,1:11.71,16:43.43,0.56,1:53.0,19,19,1:06.6,3:21.34,1.33,1:53,1:28.13,3:52.03,1.35
Oxana Slivenko,787,3:07.4,110,110,31.21,3:22.71,0.49,3:07.4,31.21,3:22.71,0.49,14:47.0,237,237,1:50.4,12:33.01,-1.21,14:47,2:04.57,12:58.75,-0.87,C+130,236,236,36.49,25:05.84,,33:30,2:28.76,31:44.03,-0.71,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,210,1,1,16.06,155.2,3.41,210.0,16.06,155.2,3.41,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,1:26.8,3,3,1:06.6,3:21.34,1.72,1:26.8,1:28.13,3:52.03,1.65
Danielle Resha,790,3:10.7,121,121,31.21,3:22.71,0.38,3:10.7,31.21,3:22.71,0.38,11:37.4,86,86,1:50.4,12:33.01,0.5,11:37.4,2:04.57,12:58.75,0.65,C+111,145,145,36.49,25:05.84,,31:55,2:28.76,31:44.03,-0.07,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,167,62,62,16.06,155.2,0.73,167.0,16.06,155.2,0.73,C+30,140,140,46.45,14:52.56,,16:30,1:11.71,16:43.43,0.19,2:13.0,43,43,1:06.6,3:21.34,1.03,2:13,1:28.13,3:52.03,1.12
Brittany Kopp,795,3:28.2,193,193,31.21,3:22.71,-0.18,3:28.2,31.21,3:22.71,-0.18,14:06.7,209,209,1:50.4,12:33.01,-0.85,14:06.7,2:04.57,12:58.75,-0.55,C+83,78,78,36.49,25:05.84,,30:09,2:28.76,31:44.03,0.64,1:35.8,7,7,25.83,2:18.15,1.64,1:35.8,37.92,2:55.74,2.11,151,178,178,16.06,155.2,-0.26,151.0,16.06,155.2,-0.26,15:46.1,42,42,46.45,14:52.56,-1.15,15:46.1,1:11.71,16:43.43,0.8,2:46.4,88,88,1:06.6,3:21.34,0.52,2:46.4,1:28.13,3:52.03,0.74
